tipo;idCampana;nombreCanal;nombreDistrito;nombreCampana;codigo_local;cuenta;nombre_local;fecha_respuesta;comuna;region;nombreZona;nombreCompleto;pregunta;respuesta;precio
3;1660;TRADICIONAL;OVALLE;CANAL TRADICIONAL 12-05-2025 - 16-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;13/05/2025 16:18;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Caras en Cooler de Red Bull Blue Edition;;0.00
3;1668;TRADICIONAL;OVALLE;CANAL TRADICIONAL 19-05-2025 - 23-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;23/05/2025 14:58;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Caras en Cooler de Red Bull Blue Edition;;0.00
3;1660;TRADICIONAL;OVALLE;CANAL TRADICIONAL 12-05-2025 - 16-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;13/05/2025 16:18;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Caras en Cooler de Red Bull Green Edition;;0.00
3;1668;TRADICIONAL;OVALLE;CANAL TRADICIONAL 19-05-2025 - 23-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;23/05/2025 14:58;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Caras en Cooler de Red Bull Green Edition;;0.00
3;1660;TRADICIONAL;OVALLE;CANAL TRADICIONAL 12-05-2025 - 16-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;13/05/2025 16:18;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Caras en Cooler Red Bull Purple Edition;;0.00
3;1668;TRADICIONAL;OVALLE;CANAL TRADICIONAL 19-05-2025 - 23-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;23/05/2025 14:58;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Caras en Cooler Red Bull Purple Edition;;0.00
3;1660;TRADICIONAL;OVALLE;CANAL TRADICIONAL 12-05-2025 - 16-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;13/05/2025 16:18;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Caras en Cooler de Red Bull Red Edition;;0.00
3;1668;TRADICIONAL;OVALLE;CANAL TRADICIONAL 19-05-2025 - 23-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;23/05/2025 14:58;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Caras en Cooler de Red Bull Red Edition;;0.00
3;1660;TRADICIONAL;OVALLE;CANAL TRADICIONAL 12-05-2025 - 16-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;13/05/2025 16:18;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Caras en Cooler de Red Bull Yellow Edition;;0.00
3;1668;TRADICIONAL;OVALLE;CANAL TRADICIONAL 19-05-2025 - 23-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;23/05/2025 14:58;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Caras en Cooler de Red Bull Yellow Edition;;0.00
3;1660;TRADICIONAL;OVALLE;CANAL TRADICIONAL 12-05-2025 - 16-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;13/05/2025 16:18;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Caras en Cooler de Red Bull Sugar Free 473ml;;0.00
3;1668;TRADICIONAL;OVALLE;CANAL TRADICIONAL 19-05-2025 - 23-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;23/05/2025 14:58;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Caras en Cooler de Red Bull Sugar Free 473ml;;0.00
3;1660;TRADICIONAL;OVALLE;CANAL TRADICIONAL 12-05-2025 - 16-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;13/05/2025 16:18;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Caras en Cooler de Red Bull Sugar Free 355ml;;0.00
3;1668;TRADICIONAL;OVALLE;CANAL TRADICIONAL 19-05-2025 - 23-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;23/05/2025 14:58;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Caras en Cooler de Red Bull Sugar Free 355ml;;0.00
3;1660;TRADICIONAL;OVALLE;CANAL TRADICIONAL 12-05-2025 - 16-05-2025;1300451;SSRR;MANUEL SILVA ARAYA;13/05/2025 16:18;LOS VILOS;04 - COQUIMBO;CENTRO NORTE;DIEGO MORGAN;Caras en Cooler de Red Bull Sugar Free 250ml;;0.00
